project,date,num_commits
Hadoop-BAM,2018-02-07,3
Hadoop-BAM,2018-02-08,1
Hadoop-BAM,2018-02-26,3
Hadoop-BAM,2018-02-27,1
Hadoop-BAM,2018-02-28,1
Hadoop-BAM,2018-03-02,1
Hadoop-BAM,2018-03-05,2
Hadoop-BAM,2018-03-19,1
Hadoop-BAM,2018-03-21,1
Hadoop-BAM,2018-04-23,1
Hadoop-BAM,2019-09-12,1
Hadoop-BAM,2019-09-17,1
Hadoop-BAM,2015-06-02,1
Hadoop-BAM,2015-10-22,2
Hadoop-BAM,2015-11-15,1
Hadoop-BAM,2015-11-18,1
Hadoop-BAM,2015-11-29,1
Hadoop-BAM,2015-12-09,1
Hadoop-BAM,2015-12-10,1
Hadoop-BAM,2015-12-27,1
Hadoop-BAM,2016-01-05,1
Hadoop-BAM,2016-01-23,1
Hadoop-BAM,2016-01-24,1
Hadoop-BAM,2016-01-31,2
Hadoop-BAM,2016-02-01,1
Hadoop-BAM,2016-02-10,1
Hadoop-BAM,2016-02-22,1
Hadoop-BAM,2016-03-14,1
Hadoop-BAM,2016-03-30,1
Hadoop-BAM,2016-03-31,1
Hadoop-BAM,2016-04-14,1
Hadoop-BAM,2016-04-24,1
Hadoop-BAM,2016-04-25,2
Hadoop-BAM,2016-04-27,1
Hadoop-BAM,2016-05-03,1
Hadoop-BAM,2016-05-05,2
Hadoop-BAM,2016-05-17,1
Hadoop-BAM,2016-06-14,1
Hadoop-BAM,2016-06-30,2
Hadoop-BAM,2016-08-16,1
Hadoop-BAM,2016-08-30,1
Hadoop-BAM,2016-11-02,1
Hadoop-BAM,2017-02-22,1
Hadoop-BAM,2017-02-23,1
Hadoop-BAM,2017-08-24,5
Hadoop-BAM,2017-08-30,1
Hadoop-BAM,2017-09-25,1
Hadoop-BAM,2017-10-03,2
Hadoop-BAM,2017-11-17,1
Hadoop-BAM,2017-11-23,1
Hadoop-BAM,2018-02-07,2
Hadoop-BAM,2018-02-26,1
Hadoop-BAM,2018-03-02,1
Hadoop-BAM,2018-03-21,1
Hadoop-BAM,2018-04-23,1
hadoop,2007-02-16,1
hadoop,2007-02-21,2
hadoop,2007-03-06,1
hadoop,2007-03-09,2
hadoop,2007-03-11,2
hadoop,2007-03-12,2
hadoop,2007-03-13,2
hadoop,2007-03-14,4
hadoop,2007-03-17,6
hadoop,2007-03-22,1
hadoop,2007-03-23,1
hadoop,2007-03-25,3
hadoop,2007-03-29,2
hadoop,2007-04-01,1
hadoop,2007-04-04,7
hadoop,2007-04-06,3
hadoop,2007-04-07,2
hadoop,2007-04-09,1
hadoop,2007-04-10,3
hadoop,2007-04-11,6
hadoop,2007-04-15,2
hadoop,2007-04-16,3
hadoop,2007-04-17,4
hadoop,2007-04-18,2
hadoop,2007-04-21,2
hadoop,2007-04-24,4
