project,date,num_commits
gatk,2017-05-01,1
gatk,2017-06-06,1
gatk,2017-06-12,1
gatk,2017-06-19,2
gatk,2017-06-20,2
gatk,2017-08-14,1
gatk,2017-08-22,1
gatk,2017-08-29,1
gatk,2017-09-01,1
gatk,2017-09-06,1
gatk,2017-09-07,3
gatk,2017-09-27,1
gatk,2017-10-05,2
gatk,2017-11-03,2
gatk,2017-12-18,1
gatk,2017-12-21,1
gatk,2018-05-10,1
gatk,2018-05-11,1
gatk,2018-08-21,1
gatk,2018-10-02,2
gatk,2018-10-03,2
gatk,2018-10-08,1
gatk,2018-10-09,1
gatk,2018-11-08,1
gatk,2018-11-21,1
gatk,2018-12-03,1
gatk,2018-12-04,1
gatk,2018-12-05,1
gatk,2018-12-10,1
gatk,2019-01-11,1
gatk,2019-01-16,1
gatk,2019-01-24,1
gatk,2019-01-28,1
gatk,2019-02-05,1
gatk,2019-03-04,2
gatk,2019-03-08,1
gatk,2019-03-25,1
gatk,2019-05-01,1
gatk,2019-06-03,1
gatk,2019-06-04,1
gatk,2019-06-05,1
gatk,2019-06-28,1
gatk,2019-07-15,2
gatk,2019-07-29,1
gatk,2019-08-09,1
gatk,2019-09-17,1
gatk,2019-10-07,1
gatk,2019-10-28,1
gcloud-public-auth-bug,2018-10-23,1
genomics-ui-playground,2016-09-02,5
genomics-ui-playground,2016-09-16,1
genomics-ui-playground,2017-01-13,1
genomics-ui-playground,2017-01-16,2
genomics-ui-playground,2017-01-17,1
gvcf-hbase,2016-08-24,5
gvcf-hbase,2016-08-25,13
gvcf-hbase,2016-08-31,7
gvcf-hbase,2016-09-13,8
gvcf-hbase,2016-09-14,10
gvcf-hbase,2016-09-15,7
gvcf-hbase,2016-09-16,2
gvcf-hbase,2016-09-20,11
gvcf-hbase,2016-12-15,2
gvcf-hbase,2017-04-05,8
gvcf-hbase,2017-04-06,10
gvcf-hbase,2017-04-07,6
gvcf-hbase,2018-06-26,2
gwas-analysis,2020-06-08,1
gwas-analysis,2020-06-09,2
gwas-analysis,2020-06-15,3
gwas-benchmark,2021-01-19,5
gwas-benchmark,2021-01-22,4
gwas-benchmark,2021-01-25,4
gwas-benchmark,2021-01-27,3
gwas-benchmark,2021-02-01,2
gwas-benchmark,2021-02-11,1
gwas-benchmark,2021-02-17,1
gwas-benchmark,2021-03-29,1
hadoop-ecosystem,2010-11-16,1
hadoop-ecosystem,2010-11-17,1
hail,2016-03-14,1
hail,2016-06-09,1
hail,2016-06-14,1
hail,2016-06-15,1
hail,2016-06-17,1
hail,2016-07-20,1
hail,2017-03-03,1
hail,2017-04-03,1
htdg3,2011-08-31,3
htdg3,2011-09-05,1
htdg3,2011-09-16,1
htdg3,2011-09-17,1
htdg3,2011-09-18,2
htdg3,2011-09-25,1
htdg3,2011-09-26,2
htdg3,2011-09-27,1
htdg3,2011-09-28,1
htdg3,2011-10-10,1
htdg3,2011-10-12,1
htsjdk,2015-08-19,1
htsjdk,2016-02-03,1
htsjdk,2016-03-11,1
htsjdk,2017-01-20,1
htsjdk,2017-02-17,1
htsjdk,2018-05-15,1
htsjdk,2018-05-25,1
htsjdk,2018-06-05,1
htsjdk,2018-06-06,1
htsjdk,2018-06-12,1
htsjdk,2018-06-15,1
htsjdk,2018-06-18,1
htsjdk,2018-08-06,1
htsjdk,2018-09-04,2
htsjdk,2018-12-11,1
htsjdk,2019-01-09,1
htsjdk,2019-02-11,1
htsjdk,2019-02-12,1
htsjdk,2019-02-26,1
htsjdk,2019-02-27,1
htsjdk,2019-05-20,1
htsjdk,2019-08-13,1
htsjdk,2019-10-25,1
jsr203-hadoop,2015-11-06,1
jsr203-hadoop,2016-01-22,1
jsr203-hadoop,2016-07-04,1
ndarray.scala,2018-05-04,1
ndarray.scala,2018-05-08,1
ndarray.scala,2018-05-24,1
ndarray.scala,2018-05-30,2
nf-starr,2021-10-21,1
numcodecs,2018-09-05,1
old,2008-11-11,2
old,2008-12-23,1
old,2009-01-19,1
old,2009-01-20,5
old,2009-01-21,1
old,2009-01-22,1
old,2009-01-23,2
old,2009-01-29,5
old,2009-02-04,1
old,2009-02-10,1
old,2009-02-17,2
old,2009-02-20,1
old,2009-02-24,1
old,2009-02-25,3
old,2009-02-27,6
old,2009-03-02,5
old,2009-03-03,3
old,2009-03-05,1
old,2009-03-06,1
old,2009-03-13,2
old,2009-03-16,1
old,2009-04-28,1
old,2009-04-29,1
old,2009-04-30,3
old,2009-05-01,2
old,2009-05-07,2
old,2009-05-08,2
old,2009-05-12,1
old,2009-05-13,2
old,2009-05-18,1
old,2009-05-19,5
old,2009-05-20,3
old,2009-05-21,2
old,2009-05-22,1
old,2009-05-26,3
old,2009-05-27,2
old,2009-05-28,1
old,2009-06-02,4
old,2009-06-04,4
old,2009-06-05,3
old,2009-06-08,2
old,2009-06-09,2
old,2009-06-15,2
old,2009-06-16,4
old,2009-06-17,1
old,2009-06-18,1
old,2009-06-22,1
old,2009-06-23,5
old,2009-06-25,2
old,2009-06-26,4
old,2009-06-29,2
old,2009-07-01,1
old,2009-07-02,5
old,2009-07-03,6
old,2009-07-07,4
old,2009-07-09,2
old,2009-07-10,5
old,2009-07-13,1
old,2009-07-15,2
old,2009-07-16,2
old,2009-07-20,5
old,2009-07-21,1
old,2009-07-31,1
old,2009-08-04,3
old,2009-08-05,2
old,2009-08-06,2
old,2009-08-14,1
old,2009-08-17,1
old,2009-08-20,3
old,2009-08-24,1
old,2009-09-03,1
old,2009-09-04,2
old,2009-09-07,1
old,2009-09-08,2
old,2009-09-09,1
old,2009-09-10,8
old,2009-09-11,5
old,2009-09-23,3
old,2009-09-24,1
old,2009-10-01,1
old,2009-10-02,2
old,2009-10-09,3
old,2009-10-12,1
op-art,2021-04-22,1
op-art,2021-07-16,1
operator,2016-11-22,9
operator,2016-11-23,7
operator,2016-11-24,1
operator,2016-12-07,6
operator,2016-12-08,1
operator,2017-01-04,2
operator,2017-01-11,6
operator,2017-02-02,1
project-curation,2025-02-16,4
project-curation,2025-04-27,2
project-curation,2025-05-30,1
project-curation,2025-06-01,1
project-curation,2025-06-03,3
project-curation,2025-06-04,2
project-curation,2025-06-05,2
