project,date,num_commits
vcztools,2025-05-05,1
vcztools,2025-05-06,1
vcztools,2025-05-07,3
vcztools,2025-05-08,2
vcztools,2025-05-09,1
vcztools,2025-05-12,5
vcztools,2025-05-13,2
vcztools,2025-05-20,2
vcztools,2025-05-21,1
vcztools,2025-05-22,1
vcztools,2025-05-27,2
xarray,2021-04-27,1
xarray,2021-05-06,1
xarray,2022-03-17,1
xarray,2022-07-20,1
xarray,2022-10-18,1
xarray,2023-01-05,1
xarray,2023-06-16,1
xarray,2023-10-05,1
xarray,2024-08-11,1
xarray,2024-08-16,1
xarray,2025-02-04,1
zarr-python,2024-06-25,1
zarr-python,2024-06-26,1
zarr-python,2025-01-07,1
zarr-python,2025-04-03,1
zarr-python-v2,2024-06-25,1
zarr-python-v2,2024-06-26,1
zarr-python-v2,2025-01-07,1
zxtext2p,2023-01-12,2
